Unnamed: 0,T2M,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,real_index,beta,azimuth,DNI,DHI,poa_global_1,T_t,P_eta
2022-06-06 16:00:00+08:00,21.94,295.66,0.15,57.16,63,40.0,267.5471880562079,76.06377801996658,254.41100076909655,272.2481577887532,30.44775493089854,0.18579799564637725
2022-06-06 17:00:00+08:00,20.86,187.23,0.15,68.42,63,40.0,277.10410841659285,74.07948852848541,159.98356581978354,162.81382964864545,25.94793217652017,0.11347271732739313
2022-06-06 18:00:00+08:00,19.28,75.55,0.15,79.32,63,40.0,286.04277052260045,46.435764992726845,66.94435651407765,60.947109226411015,21.184597163325346,0.04341174808893092
2022-06-06 19:00:00+08:00,15.01,11.09,0.12,88.55,63,40.0,295.1154275718417,0.0,11.09,9.948390464643364,15.320887202020105,0.007273932256209686
2022-06-06 20:00:00+08:00,12.67,0.0,-999.0,-999.0,63,40.0,304.88178610830863,0.0,0.0,0.0,12.67,0.0
2022-06-06 21:00:00+08:00,11.65,0.0,-999.0,-999.0,63,40.0,315.81231481416563,0.0,0.0,0.0,11.65,0.0
2022-06-06 22:00:00+08:00,10.55,0.0,-999.0,-999.0,63,40.0,328.25586511447784,0.0,0.0,0.0,10.55,0.0
2022-06-06 23:00:00+08:00,9.59,0.0,-999.0,-999.0,63,40.0,342.2756220780351,0.0,0.0,0.0,9.59,0.0
2022-06-07 00:00:00+08:00,8.83,0.0,-999.0,-999.0,63,40.0,357.4294050977257,0.0,0.0,0.0,8.83,0.0
2022-06-07 01:00:00+08:00,8.16,0.0,-999.0,-999.0,63,40.0,12.76477318604475,0.0,0.0,0.0,8.16,0.0
2022-06-07 02:00:00+08:00,7.63,0.0,-999.0,-999.0,63,40.0,27.235475871303265,0.0,0.0,0.0,7.63,0.0
2022-06-07 03:00:00+08:00,7.26,0.0,-999.0,-999.0,63,40.0,40.21092758953614,0.0,0.0,0.0,7.26,0.0
2022-06-07 04:00:00+08:00,7.12,0.0,-999.0,-999.0,63,40.0,51.608232534953345,0.0,0.0,0.0,7.12,0.0
2022-06-07 05:00:00+08:00,9.05,90.16,0.16,82.04,63,40.0,61.70558180247974,205.63467126778417,61.683355063380034,57.31442946469056,10.84107592077158,0.042733164935783594
2022-06-07 06:00:00+08:00,12.52,266.93,0.15,71.61,63,40.0,70.94264728132754,701.6066689177821,45.58472716768307,76.38977424273995,14.907180445085622,0.055955423997335794
2022-06-07 07:00:00+08:00,16.44,460.53,0.15,60.43,63,40.0,79.84409011051957,807.3168944756297,62.12998518430851,293.5820913693201,25.614440355291254,0.20492661239434354
2022-06-07 08:00:00+08:00,19.45,637.86,0.14,49.08,63,40.0,89.07507307143976,820.7961575348054,100.23472764463179,517.2592386042536,35.61435120638292,0.34440247168397803
2022-06-07 09:00:00+08:00,21.58,727.04,0.15,37.91,63,40.0,99.67012668699658,613.6466890903088,242.88696220018454,667.0371251992531,42.42491016247666,0.4294997280586167
2022-06-07 10:00:00+08:00,22.9,862.0,0.15,27.59,63,40.0,113.65900163947907,714.1871505022448,229.02705115670346,807.4325577456805,48.13226742955251,0.5050604487621121
2022-06-07 11:00:00+08:00,23.35,900.02,0.16,19.89,63,40.0,135.6325271158933,661.2645630202566,278.2015080158477,858.0780936818242,50.164940427557006,0.5311236467440597
2022-06-07 12:00:00+08:00,23.91,894.93,0.16,18.66,63,40.0,172.57554486752088,606.7309767825182,320.0925183764806,880.5679997893205,51.42774999341627,0.5414635921914803
2022-06-07 13:00:00+08:00,24.51,787.21,0.16,24.91,63,40.0,213.82079278603902,522.029813155834,313.7443510653281,796.4381234827986,49.39869135883745,0.4949354920026745
2022-06-07 14:00:00+08:00,24.77,750.24,0.15,34.72,63,40.0,240.21798687419485,597.9505252501061,258.7573911431544,760.2979661274177,48.5293114414818,0.47460507010984665
2022-06-07 15:00:00+08:00,24.58,620.85,0.15,45.73,63,40.0,256.1889560512703,605.8757877146969,197.92419015369808,607.3126551730247,43.55852047415702,0.388826804229434
2022-06-07 16:00:00+08:00,23.91,439.4,0.14,57.07,63,40.0,267.61990892508726,510.9043337377456,161.66525182273983,393.6336909713714,36.21105284285535,0.26133356876508934
